,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt
2627,19494043,2013-01-03,Main Opposition (Turkey),"Dissident,Protestors / Popular Opposition / Mobs",Turkey,Make statement,10,0.0,Libya,,Libya,18103726,6,BBC Monitoring Middle East,,,,Turkey,39.9167,32.8333,2013-01-03
2661,19494083,2013-01-03,Turkey,,Turkey,"Arrest, detain, or charge with legal action",173,-5.0,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,18103838,2,Al Jazeera English,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-01-03
2663,19494086,2013-01-03,Tunisia,,Tunisia,Appeal for judicial cooperation,213,3.4,Turkey,,Turkey,18103841,1,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2664,19494085,2013-01-03,Other Authorities / Officials (Tunisia),Government,Tunisia,Make an appeal or request,20,3.0,Government (Turkey),Government,Turkey,18103841,3,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2665,19494087,2013-01-03,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,Criticize or denounce,111,-2.0,Other Authorities / Officials (Tunisia),Government,Tunisia,18103841,6,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2677,19494102,2013-01-03,Abdullah Gül,"Executive,Executive Office,Elite,Government",Turkey,Express intent to cooperate,30,4.0,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,18103878,2,Channel NewsAsia,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2678,19494101,2013-01-03,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,Express intent to cooperate,30,4.0,Abdullah Gül,"Executive,Executive Office,Elite,Government",Turkey,18103878,2,Channel NewsAsia,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2679,19494100,2013-01-03,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,Engage in symbolic act,17,0.0,Abdullah Gül,"Executive,Executive Office,Elite,Government",Turkey,18103878,4,Channel NewsAsia,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2680,19494103,2013-01-03,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,Express intent to meet or negotiate,36,4.0,Ali Babacan,"Center Right,Ideological,(National) Major Party,Executive,Parties,Executive Office,Government",Turkey,18103878,6,Channel NewsAsia,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2841,19494282,2013-01-03,Government (Turkey),Government,Turkey,Make statement,10,0.0,Turkey,,Turkey,18104246,3,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-03
2842,19494283,2013-01-03,Government (Turkey),Government,Turkey,Make an appeal or request,20,3.0,Foreign Affairs (Turkey),"Executive,Foreign Ministry,Government",Turkey,18104246,5,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-03
2943,19494412,2013-01-03,Other Authorities / Officials (Turkey),Government,Turkey,"Arrest, detain, or charge with legal action",173,-5.0,Military (Turkey),"Military,Government",Turkey,18104623,1,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
3167,19494642,2013-01-03,Turkey,,Turkey,"Arrest, detain, or charge with legal action",173,-5.0,High Ranking Military Personnel (Turkey),"Military,Government",Turkey,18105099,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-01-03
3642,19495215,2013-01-03,Head of Government (Turkey),"Executive,Executive Office,Government",Turkey,Make statement,10,0.0,Turkey,,Turkey,18138499,4,Trend News Agency (Azerbaijan),,,,Turkey,39.9167,32.8333,2013-01-03
3727,19496347,2013-01-04,Domestic Affairs (Turkey),"Executive,Interior / Home Ministry,Government",Turkey,Make empathetic comment,18,3.4,Domestic Affairs (Libya),"Executive,Government,Interior / Home Ministry",Libya,18097981,2,The Tripoli Post,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-01-04
3728,19496348,2013-01-04,United States European Command,"Government,Military",United States,Occupy territory,192,-9.5,Turkey,,Turkey,18098150,2,Trend News Agency (Azerbaijan),,,,Turkey,36.5,36.25,2013-01-04
3769,19496401,2013-01-04,Turkey,,Turkey,Host a visit,43,2.8,United States,,United States,18099018,1,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3770,19496399,2013-01-04,United States,,United States,Make a visit,42,1.9,Turkey,,Turkey,18099018,1,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3771,19496400,2013-01-04,United States,,United States,Make a visit,42,1.9,Turkey,,Turkey,18099018,4,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3772,19496402,2013-01-04,Turkey,,Turkey,Host a visit,43,2.8,United States,,United States,18099018,4,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3778,19496430,2013-01-04,United States,,United States,Occupy territory,192,-9.5,Turkey,,Turkey,18099120,5,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3779,19496429,2013-01-04,Military (United States),"Government,Military",United States,Make a visit,42,1.9,Turkey,,Turkey,18099120,5,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3780,19496431,2013-01-04,Turkey,,Turkey,Host a visit,43,2.8,Military (United States),"Government,Military",United States,18099120,5,Reuters News,,,,Turkey,39.9167,32.8333,2013-01-04
3806,19496497,2013-01-04,Turkey,,Turkey,Host a visit,43,2.8,Military (United States),"Government,Military",United States,18099291,1,Agence France-Presse,,,,Turkey,39.9167,32.8333,2013-01-04
3807,19496496,2013-01-04,United States,,United States,Occupy territory,192,-9.5,Turkey,,Turkey,18099291,1,Agence France-Presse,,,,Turkey,39.9167,32.8333,2013-01-04
3808,19496495,2013-01-04,Military (United States),"Government,Military",United States,Make a visit,42,1.9,Turkey,,Turkey,18099291,1,Agence France-Presse,,,,Turkey,39.9167,32.8333,2013-01-04
3871,19496602,2013-01-04,Turkey,,Turkey,Host a visit,43,2.8,United States,,United States,18099579,1,RIA Novosti,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3872,19496599,2013-01-04,United States,,United States,Praise or endorse,51,3.4,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18099579,1,RIA Novosti,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3873,19496600,2013-01-04,United States,,United States,Provide military aid,72,8.3,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18099579,1,RIA Novosti,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3874,19496598,2013-01-04,United States,,United States,Make a visit,42,1.9,Turkey,,Turkey,18099579,1,RIA Novosti,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3875,19496601,2013-01-04,United States,,United States,Provide military aid,72,8.3,Turkey,,Turkey,18099579,1,RIA Novosti,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3931,19496672,2013-01-04,Ministry (Somalia),Government,Somalia,Consult,40,1.0,Turkey,,Turkey,18099715,3,BBC Monitoring Africa,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-01-04
3932,19496675,2013-01-04,Turkey,,Turkey,Consult,40,1.0,Ministry (Somalia),Government,Somalia,18099715,3,BBC Monitoring Africa,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-01-04
3941,19496687,2013-01-04,Turkey,,Turkey,Grant asylum,75,7.0,Tariq Al-Hashimi,"Sunni,Elite,International Religious",Iraq,18099732,1,FARS News Agency,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
3949,19496701,2013-01-04,Turkey,,Turkey,Host a visit,43,2.8,Military (United States),"Government,Military",United States,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3950,19496697,2013-01-04,United States,,United States,Provide military aid,72,8.3,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3951,19496699,2013-01-04,United States,,United States,Provide military aid,72,8.3,Turkey,,Turkey,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3952,19496696,2013-01-04,Military (United States),"Government,Military",United States,Praise or endorse,51,3.4,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3953,19496698,2013-01-04,Military (United States),"Government,Military",United States,Provide military aid,72,8.3,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3954,19496695,2013-01-04,Military (United States),"Government,Military",United States,Make a visit,42,1.9,Turkey,,Turkey,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3955,19496700,2013-01-04,Military (United States),"Government,Military",United States,Provide military aid,72,8.3,Turkey,,Turkey,18099748,2,Agence France-Presse,Incirlik Hava Ussu,,Adana,Turkey,36.999,35.4204,2013-01-04
3972,19496718,2013-01-04,Lawyer/Attorney (Turkey),"Social,Legal",Turkey,Investigate,90,-2.0,High Ranking Military Personnel (Turkey),"Military,Government",Turkey,18099771,2,United News of Bangladesh Limited,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
3973,19496719,2013-01-04,Military (Turkey),"Military,Government",Turkey,Demand change in leadership,1041,-5.0,Necmettin Erbakan,,Turkey,18099771,3,United News of Bangladesh Limited,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
3999,19496749,2013-01-04,Justice Department/Ministery (Turkey),"Government,Judicial",Turkey,Engage in symbolic act,17,0.0,Ahmet Davutoglu,"Social,Center Right,Ideological,Education,Executive,(National) Major Party,Parties,Foreign Ministry,Government,Cabinet",Turkey,18099835,3,BBC Monitoring Newsfile,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4000,19496748,2013-01-04,Ahmet Davutoglu,"Social,Center Right,Ideological,Education,Executive,(National) Major Party,Parties,Foreign Ministry,Government,Cabinet",Turkey,Engage in symbolic act,17,0.0,Justice Department/Ministery (Turkey),"Government,Judicial",Turkey,18099835,3,BBC Monitoring Newsfile,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4101,19496872,2013-01-04,Turkey,,Turkey,Make an appeal or request,20,3.0,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18100132,6,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4171,19496964,2013-01-04,Turkey,,Turkey,Consult,40,1.0,Somalia,,Somalia,18100310,3,BBC Monitoring Africa,,,,Turkey,39.9167,32.8333,2013-01-04
4308,19497121,2013-01-04,Ministry (Turkey),Government,Turkey,Make statement,10,0.0,Turkey,,Turkey,18100585,2,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4309,19497124,2013-01-04,Turkey,,Turkey,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18100601,1,Xinhua News Agency,,,,Turkey,39.9167,32.8333,2013-01-04
4423,19497245,2013-01-04,Main Opposition (Turkey),"Dissident,Protestors / Popular Opposition / Mobs",Turkey,Make an appeal or request,20,3.0,Constitutional Court (Turkey),"Government,Judicial",Turkey,18100830,2,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-04
4441,19497265,2013-01-04,Citizen (Syria),"Social,General Population / Civilian / Social",Syria,Reject,120,-4.0,Syria,,Syria,18100876,2,BBC Monitoring Newsfile,,,Hatay,Turkey,36.5,36.25,2013-01-04
4619,19497451,2013-01-04,Lawyer/Attorney (Turkey),"Social,Legal",Turkey,Investigate,90,-2.0,Military (Turkey),"Military,Government",Turkey,18101179,2,Associated Press Newswires,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4620,19497452,2013-01-04,Military (Turkey),"Military,Government",Turkey,Demand change in leadership,1041,-5.0,Necmettin Erbakan,,Turkey,18101179,6,Associated Press Newswires,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4658,19497494,2013-01-04,Tunisia,,Tunisia,Appeal for judicial cooperation,213,3.4,Turkey,,Turkey,18101290,2,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
4672,19497512,2013-01-04,Other Authorities / Officials (Turkey),Government,Turkey,"Arrest, detain, or charge with legal action",173,-5.0,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,18101350,1,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
5265,19498618,2013-01-04,Tunisia,,Tunisia,Appeal for judicial cooperation,213,3.4,Turkey,,Turkey,34059501,1,All Africa,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
5266,19498619,2013-01-04,Foreign Affairs (Tunisia),"Foreign Ministry,Executive,Government",Tunisia,Appeal for judicial cooperation,213,3.4,Foreign Affairs (Turkey),"Executive,Foreign Ministry,Government",Turkey,34059501,3,All Africa,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-04
5452,19499416,2013-01-05,United States,,United States,Provide military aid,72,8.3,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18097020,5,Agence France-Presse,Incirlik,,Antalya,Turkey,36.4655,30.3556,2013-01-05
5453,19499415,2013-01-05,Military (United States),"Government,Military",United States,Praise or endorse,51,3.4,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18097020,5,Agence France-Presse,Incirlik,,Antalya,Turkey,36.4655,30.3556,2013-01-05
5454,19499417,2013-01-05,Military (United States),"Government,Military",United States,Provide military aid,72,8.3,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18097020,5,Agence France-Presse,Incirlik,,Antalya,Turkey,36.4655,30.3556,2013-01-05
5553,19499533,2013-01-05,Carl Bildt,"Government,Foreign Ministry,Unicameral,Elite,Legislative / Parliamentary,Center Right,Ideological,Executive,(National) Major Party,Parties",Sweden,Make statement,10,0.0,Turkey,,Turkey,18097217,5,BBC Monitoring European,,,Izmir,Turkey,38.4622,27.0923,2013-01-05
5554,19499534,2013-01-05,Sweden,,Sweden,Praise or endorse,51,3.4,Turkey,,Turkey,18097217,6,BBC Monitoring European,,,Izmir,Turkey,38.4622,27.0923,2013-01-05
5555,19499536,2013-01-05,Antonio Patriota,"Government,Foreign Ministry,Executive,Cabinet",Brazil,Make statement,10,0.0,Brazil,,Brazil,18097218,5,BBC Monitoring European,,,Izmir,Turkey,38.4622,27.0923,2013-01-05
5556,19499535,2013-01-05,Antonio Patriota,"Government,Foreign Ministry,Executive,Cabinet",Brazil,Make statement,10,0.0,Turkey,,Turkey,18097218,5,BBC Monitoring European,,,Izmir,Turkey,38.4622,27.0923,2013-01-05
5578,19499561,2013-01-05,Ahmet Davutoglu,"Social,Center Right,Ideological,Education,Executive,(National) Major Party,Parties,Foreign Ministry,Government,Cabinet",Turkey,Make statement,10,0.0,Turkey,,Turkey,18097276,4,Trend News Agency (Azerbaijan),Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-05
5690,19499688,2013-01-05,Turkey,,Turkey,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,Africa,,,18097494,2,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-05
